Tên vật phẩm,Chỉ số cơ bản,Số lần nâng cấp,Yêu cầu,Phân loại,Job,Máy xổ số
Bộ pháo binh đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Bộ xạ thủ đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Trang phục nữ tướng đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Áo khoác cánh xanh,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Trang phục nữ thần săn bắn xanh,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Mũ chim ưng đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Bowman,Thị Trấn Xanh
Đèn bí đỏ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Thị Trấn Xanh
Cung tào tháo,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Vuốt thép,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Thief,Thị Trấn Xanh
Nỏ rồng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ gỗ xéo,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Nỏ chim vàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Cung hủy diệt,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Thị Trấn Xanh
Giày tiên đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Bowman,Thị Trấn Xanh
Găng tay tinh tường đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Bowman,Thị Trấn Xanh
Bộ vận mệnh đỏ,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Bộ quân trang đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Áo định mệnh sọc xanh,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Trang phục nữ hiệp xanh,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Bowman,Thị Trấn Xanh
Mũ thợ săn đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,Bowman,Thị Trấn Xanh
Khăn trùm đầu đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thị Trấn Xanh
Khăn trùm đầu tím,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thị Trấn Xanh
Khăn trùm đầu hồng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thị Trấn Xanh
Khăn trùm đầu xám,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thị Trấn Xanh
Khăn trùm đầu xanh lục,Tự vào game xem đi,10,Lười ghi bome,Mũ,FULL,Thị Trấn Xanh
Khăn trùm đầu nâu,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thị Trấn Xanh
Khăn trùm đầu xanh,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thị Trấn Xanh
Mũ lông vũ đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Bowman,Thị Trấn Xanh
Mũ hoàng tộc đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Bowman,Thị Trấn Xanh
Khăn trùm đầu đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Thị Trấn Xanh
Thuốc tiên,,,,Use,,Rừng pháp thuật
Thuốc tiên lớn,,,,Use,,Rừng pháp thuật
Phô mai tan,,,,Use,,Rừng pháp thuật
Dưa hấu,,,,Use,,Rừng pháp thuật
Cuộn giấy găng tay tăng tấn công pháp thuật 10%,10%,,,Scroll,,Rừng pháp thuật
Cuộn giấy áo toàn thân tăng trí tuệ 10%,10%,,,Scroll,,Rừng pháp thuật
Cuộn giấy áo toàn thân tăng may mắn 10%,10%,,,Scroll,,Rừng pháp thuật
Cuộn giấy trượng tăng tấn công pháp thuật 10%,10%,,,Scroll,,Rừng pháp thuật
Cuộn giấy gậy phép tăng tấn công pháp thuật 10%,10%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy găng tay tăng tấn công pháp thuật 30%,30%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy áo toàn thân tăng trí tuệ 30%,30%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy áo toàn thân tăng may mắn 30%,30%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy trượng tăng tấn công pháp thuật 30%,30%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy gậy phép tăng tấn công pháp thuật 30%,30%,,,Scroll,,Rừng pháp thuật
Khăn trùm đầu đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Khăn trùm đầu tím,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Khăn trùm đầu hồng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Khăn trùm đầu xám,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Khăn trùm đầu xanh lục,Tự vào game xem đi,10,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Khăn trùm đầu nâu,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Khăn trùm đầu xanh,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Khăn trùm đầu đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Khăn trùm đầu vàng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Rừng pháp thuật
Vòng vàng đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Magician,Rừng pháp thuật
Vòng thái tử đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Magician,Rừng pháp thuật
Mũ pháp sư hoàng gia đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Magician,Rừng pháp thuật
Bộ trăng ma thuật đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Trang phục ma thuật cổ đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Áo la mã đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Áo hy lạp đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Trang phục huyền bí đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Áo bí ẩn sẫm,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Bộ tiễn đưa đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Găng giáp la mã đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Magician,Rừng pháp thuật
Găng hội lực đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Magician,Rừng pháp thuật
Găng tịnh tâm đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Magician,Rừng pháp thuật
Giày phi kim xanh dương,Tự vào game xem đi,5,Lười ghi bome,Giày,Magician,Rừng pháp thuật
Giày ngọn gió vàng xanh lá,Tự vào game xem đi,5,Lười ghi bome,Giày,Magician,Rừng pháp thuật
Cánh thiên thần,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Gậy cánh gió,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Đũa nạm châu,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Gậy dạ lễ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Đũa quỷ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Gậy cánh quỷ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Gậy phượng hoàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Gậy gai,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Cuộn giấy găng tay tăng tấn công pháp thuật 60%,60%,,,Scroll,,Rừng pháp thuật
Cuộn giấy áo toàn thân tăng trí tuệ 60%,60%,,,Scroll,,Rừng pháp thuật
Cuộn giấy áo toàn thân tăng may mắn 60%,60%,,,Scroll,,Rừng pháp thuật
Cuộn giấy trượng tăng tấn công pháp thuật 60%,60%,,,Scroll,,Rừng pháp thuật
Cuộn giấy gậy phép tăng tấn công pháp thuật 60%,60%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy gậy phép tăng tấn công pháp thuật 70%,70%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy áo toàn thân tăng trí tuệ 70%,70%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy áo toàn thân tăng may mắn 70%,70%,,,Scroll,,Rừng pháp thuật
(Quỷ) Cuộn giấy trượng tăng tấn công pháp thuật 70%,70%,,,Scroll,,Rừng pháp thuật
Advanced Equip Enhancement Scroll,,,,Scroll,,Rừng pháp thuật
Hoa tai vàng ròng,+INT,5,LV: 80,Hoa tai,FULL,Rừng pháp thuật
Hoa tai lá cây,+MP,5,Lười ghi bome,Hoa tai,FULL,Rừng pháp thuật
Mũ thiên hà đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Magician,Rừng pháp thuật
Mũ măng tre đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Magician,Rừng pháp thuật
Mũ phương đông đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Magician,Rừng pháp thuật
Bộ áo phương đông đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Bộ áo đông phương đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Bộ nũ đạo sư đen,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Áo đạo sư sẫm,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Magician,Rừng pháp thuật
Găng tay ma lực đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Magician,Rừng pháp thuật
Găng tay hiền triết đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Magician,Rừng pháp thuật
Găng tay đạo sư tím,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Magician,Rừng pháp thuật
Giày xăng đan tinh thạch nâu,Tự vào game xem đi,5,Lười ghi bome,Giày,Magician,Rừng pháp thuật
Giày bí ẩn đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Magician,Rừng pháp thuật
Giày thần mặt đất đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Magician,Rừng pháp thuật
Áo choàng hành trình tím,+M.ATT,5,LV: 50,Áo choàng,FULL,Rừng pháp thuật
Dù đen,Tự vào game xem đi,7,"LV: 70
All: +6",Vũ khí,FULL,Rừng pháp thuật
Gậy thủy thần,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Nỏ én đen,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Bowman,Rừng pháp thuật
Gậy đầu lâu,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Gậy vua quỷ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Gậy thần quyền lực,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Rừng pháp thuật
Khiên phù thủy Maple,Tự vào game xem đi,10,LV: 64,Khiên,Magician,Rừng pháp thuật
Đũa lửa,Tự vào game xem đi,7,LV: 70,Vũ khí,Magician,Rừng pháp thuật
Đũa độc,Tự vào game xem đi,7,LV: 70,Vũ khí,Magician,Rừng pháp thuật
Đũa băng,Tự vào game xem đi,7,LV: 70,Vũ khí,Magician,Rừng pháp thuật
Gậy phép sét,Tự vào game xem đi,7,LV: 70,Vũ khí,Magician,Rừng pháp thuật
Ghế xanh lục,,,,Chair,,Rừng pháp thuật
Ghế thư giãn đỏ,,,,Chair,,Rừng pháp thuật
Hime,,,,,,xHimeXinhDep
Thuốc tiên,,,,Use,,Cao nguyên du mục
Thuốc tiên lớn,,,,Use,,Cao nguyên du mục
Phô mai tan,,,,Use,,Cao nguyên du mục
Dưa hấu,,,,Use,,Cao nguyên du mục
Cuộn giấy găng tay tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy rìu đơn tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy búa đơn tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy kiếm đơn tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy áo toàn thân tăng khéo léo 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy áo toàn thân tăng sức mạnh 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy đại đao tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy thương tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy rìu đôi tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy búa đôi tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
Cuộn giấy kiếm đôi tăng tấn công vật lý 10%,10%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy rìu đơn tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy búa đơn tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy kiếm đơn tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy áo toàn thân tăng sức mạnh 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy đại đao tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy thương tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy rìu đôi tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy búa đôi tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy kiếm đôi tăng tấn công vật lý 30%,30%,,,Scroll,,Cao nguyên du mục
Khăn trùm đầu đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Cao nguyên du mục
Khăn trùm đầu tím,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Cao nguyên du mục
Khăn trùm đầu hồng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Cao nguyên du mục
Mũ tướng quân đỏ,Tự vào game xem đi,7,Lười ghi bome,Mũ,Warrior,Cao nguyên du mục
Mũ thống tướng bạc,Tự vào game xem đi,7,Lười ghi bome,Mũ,Warrior,Cao nguyên du mục
Khăn trùm đầu nâu,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Cao nguyên du mục
Khăn trùm đầu xanh,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Cao nguyên du mục
Khăn trùm đầu đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Cao nguyên du mục
Khăn trùm đầu vàng,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Cao nguyên du mục
Áo giáp nặng đỏ tươi,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Áo giáp chúa tuyết xanh,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Áo giáp tướng quân đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Áo giáo nhẹ đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Áo giáp tử kim,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Quần giáp nặng đỏ tươi,Tự vào game xem đi,7,Lười ghi bome,Quần,Warrior,Cao nguyên du mục
Váy chúa tuyết xanh,Tự vào game xem đi,7,Lười ghi bome,Quần,Warrior,Cao nguyên du mục
Quần tướng quân sẫm,Tự vào game xem đi,7,Lười ghi bome,Quần,Warrior,Cao nguyên du mục
Quần giáp tử kim,Tự vào game xem đi,7,Lười ghi bome,Quần,Warrior,Cao nguyên du mục
Găng chịu lực đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Warrior,Cao nguyên du mục
Găng tay da rắn đen,Tự vào game xem đi,5,Lười ghi bome,Găng tay,Warrior,Cao nguyên du mục
Giày cá voi đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Warrior,Cao nguyên du mục
Rìu vàng ròng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Giáo thiết bảng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Đại đao rồng vàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Kiếm lửa,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Cao nguyên du mục
Chai rượu,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Beginer,Cao nguyên du mục
Cuộn giấy găng tay tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
Cuộn giấy rìu đơn tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
Cuộn giấy búa đơn tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
Cuộn giấy kiếm đơn tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
Cuộn giấy áo toàn thân tăng khéo léo 60%,60%,,,Scroll,,Cao nguyên du mục
Advanced Equip Enhancement Scroll,,,,Scroll,,Cao nguyên du mục
Cuộn giấy đại đao tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
Cuộn giấy thương tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
Cuộn giấy rìu đôi tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
Cuộn giấy búa đôi tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
Cuộn giấy kiếm đôi tăng tấn công vật lý 60%,60%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy rìu đơn tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy búa đơn tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy kiếm đơn tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy áo toàn thân tăng sức mạnh 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy đại đao tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy thương tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy rìu đôi tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy búa đôi tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
(Quỷ) Cuộn giấy kiếm đôi tăng tấn công vật lý 70%,70%,,,Scroll,,Cao nguyên du mục
Mũ hiệp sĩ trung cổ đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Warrior,Cao nguyên du mục
Mũ chiến binh rồng đen,Tự vào game xem đi,7,Lười ghi bome,Mũ,Warrior,Cao nguyên du mục
Áo giáp trụ đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Áo giáp thiếu tướng đen,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Áo giáp trụ nữ sẫm,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Áo giáp nữ chiến binh sẫm,Tự vào game xem đi,7,Lười ghi bome,Áo,Warrior,Cao nguyên du mục
Quần giáp trụ đen,Tự vào game xem đi,7,Lười ghi bome,Quần,Warrior,Cao nguyên du mục
Váy chiến binh đỏ tươi,Tự vào game xem đi,7,Lười ghi bome,Quần,Warrior,Cao nguyên du mục
Quần thiếu tướng sẫm,Tự vào game xem đi,7,Lười ghi bome,Quần,Warrior,Cao nguyên du mục
Váy nếp sẫm,Tự vào game xem đi,7,Lười ghi bome,Quần,Warrior,Cao nguyên du mục
Giáp chiến đấu sẫm,Tự vào game xem đi,10,Lười ghi bome,Áo toàn thân,Warrior,Cao nguyên du mục
Giày hoàng hà đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Warrior,Cao nguyên du mục
Giày tướng quân đen,Tự vào game xem đi,5,Lười ghi bome,Giày,Warrior,Cao nguyên du mục
Giày biển sâu vàng,Tự vào game xem đi,5,Lười ghi bome,Giày,Warrior,Cao nguyên du mục
Áo choàng hành trình hồng,+ATT,5,LV: 50,Áo choàng,FULL,Cao nguyên du mục
Áo choàng linh hồn Taru,+ATT,5,LV: 80,Áo choàng,Warrior,Cao nguyên du mục
Dù màu be,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Cao nguyên du mục
Đũa lửa,Tự vào game xem đi,7,LV: 70,Vũ khí,Magician,Cao nguyên du mục
Khiên chiến binh Maple,Tự vào game xem đi,10,LV: 64,Khiên,Warrior,Cao nguyên du mục
Kiếm nhật đỏ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Kiếm diều hâu xanh,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Kiếm thiên thần,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Rìu mặt trời,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Búa sao mai,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Quân khu vũ trụ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Kiếm cổ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Rìu chó ma canh địa ngục,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Đại đao nguyệt thực,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Đại đao quan vũ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Warrior,Cao nguyên du mục
Ghế trăng sao,,,,Chair,,Cao nguyên du mục
Ghế ngôi mộ đầu lâu,,,,Chair,,Cao nguyên du mục
Ghế vàng,,,,Chair,,Cao nguyên du mục
Thuốc viên trắng,,,,Use,,Thành phố hỗn loạn
Dưa hấu,,,,Use,,Thành phố hỗn loạn
Kem đá,,,,Use,,Thành phố hỗn loạn
Kẹo bông gòn,,,,Use,,Thành phố hỗn loạn
Cuộn giấy vuốt tăng tấn công vật lý 10%,10%,,,Scroll,,Thành phố hỗn loạn
